"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U750","2019-09-11 00:00:00","398.000","184.000","5.700","23.400","1.000","968.600","-99.000","0.000","-99.000","-99.000","-99.000","25.600","","22.700",""
"C0M730","2019-09-11 00:00:00","40.000","0.000","0.000","24.500","0.990","1007.000","-99.000","47.500","-99.000","-99.000","-99.000","32.400","","23.800",""
"C0Z061","2019-09-11 00:00:00","174.000","137.000","0.800","23.900","0.990","997.300","-99.000","4.000","-99.000","-99.000","-99.000","31.500","","23.000",""
"C0M670","2019-09-11 00:00:00","43.000","207.000","1.200","24.700","0.940","1006.600","-99.000","4.500","-99.000","-99.000","-99.000","31.700","","24.700",""
"C0I530","2019-09-11 00:00:00","3014.000","138.000","2.800","10.400","0.860","705.700","-99.000","0.000","-99.000","-99.000","-99.000","13.000","","7.700",""
"C0V650","2019-09-11 00:00:00","28.000","127.000","1.700","24.700","0.940","1010.700","-99.000","25.500","-99.000","-99.000","-99.000","29.000","","24.400",""
"C0K470","2019-09-11 00:00:00","97.000","109.000","0.300","24.500","0.990","1000.800","-99.000","2.500","-99.000","-99.000","-99.000","32.600","","24.300",""
"C0C630","2019-09-11 00:00:00","209.000","224.000","1.400","25.900","0.820","987.800","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","24.900",""
"C0D550","2019-09-11 00:00:00","1956.000","0.000","0.000","16.500","0.810","813.200","-99.000","0.000","-99.000","-99.000","-99.000","20.700","","13.600",""
"C0T9E0","2019-09-11 00:00:00","415.000","0.000","0.000","23.900","0.930","968.600","-99.000","0.000","-99.000","-99.000","-99.000","29.100","","22.000",""
"C0U960","2019-09-11 00:00:00","1885.000","234.000","1.600","15.700","0.990","817.100","-99.000","0.000","-99.000","-99.000","-99.000","21.600","","12.400",""
"C0AI30","2019-09-11 00:00:00","26.000","91.000","7.200","29.900","0.690","1008.800","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.800",""
"C0R240","2019-09-11 00:00:00","87.000","31.000","0.400","23.500","0.990","1001.900","-99.000","9.000","-99.000","-99.000","-99.000","29.000","","23.500",""
"C0AD30","2019-09-11 00:00:00","20.000","104.000","2.900","29.700","0.660","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","34.700","","27.500",""
"C0D430","2019-09-11 00:00:00","87.000","0.000","0.000","24.600","0.980","1000.200","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","22.700",""
"C0X210","2019-09-11 00:00:00","38.000","148.000","0.900","23.600","0.990","1006.300","-99.000","49.500","-99.000","-99.000","-99.000","31.000","","22.100",""
"C0R680","2019-09-11 00:00:00","13.000","50.000","2.600","27.800","-99.000","1010.700","-99.000","-99.000","-99.000","-99.000","-99.000","28.900","","24.500",""
"C0AH10","2019-09-11 00:00:00","30.000","87.000","3.500","29.800","0.660","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","26.100",""
"C0O960","2019-09-11 00:00:00","112.000","110.000","0.700","23.800","0.950","999.400","-99.000","28.000","-99.000","-99.000","-99.000","29.500","","22.700",""
"C0H950","2019-09-11 00:00:00","192.000","0.000","0.000","24.600","0.990","991.200","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.400",""
